private_cat,retire_cat,hhincome_cat,age
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",69
PI,0,"[$10K, $30K)",58
No PI,1,"[$10K, $30K)",73
No PI,0,"[$10K, $30K)",60
PI,0,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",61
No PI,0,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",62
No PI,0,"[$10K, $30K)",62
No PI,1,"[$10K, $30K)",70
No PI,0,"[$10K, $30K)",62
No PI,1,"[$10K, $30K)",72
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",58
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",74
PI,1,"[$10K, $30K)",75
PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",67
PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",71
No PI,1,"[$10K, $30K)",58
No PI,0,"[$10K, $30K)",59
PI,1,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",59
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",76
No PI,0,"[$10K, $30K)",72
No PI,0,"[$10K, $30K)",60
PI,1,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",60
PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",71
No PI,1,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",62
No PI,1,"[$10K, $30K)",70
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",63
No PI,0,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",72
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",59
No PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",74
No PI,0,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",62
No PI,0,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",71
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",70
No PI,0,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",63
PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",62
No PI,1,"[$10K, $30K)",70
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",74
No PI,0,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",58
PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",60
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",60
No PI,1,"[$10K, $30K)",76
No PI,0,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",57
No PI,0,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",60
PI,1,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",71
No PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",73
No PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",71
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",70
No PI,0,"[$10K, $30K)",59
PI,1,"[$10K, $30K)",71
No PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",60
No PI,1,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",59
No PI,0,"[$10K, $30K)",59
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",72
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",72
PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",56
No PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",76
PI,0,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",68
PI,0,"[$10K, $30K)",71
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",81
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",71
PI,1,"[$10K, $30K)",73
PI,0,"[$10K, $30K)",58
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",80
PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",58
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",63
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",76
No PI,1,"[$10K, $30K)",70
PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",52
PI,0,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",52
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",82
No PI,0,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",61
No PI,1,"[$10K, $30K)",64
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",70
No PI,0,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",60
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",72
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",72
PI,1,"[$10K, $30K)",71
No PI,0,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",75
PI,0,"[$10K, $30K)",69
PI,0,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",73
No PI,0,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",63
PI,0,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",73
PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",60
PI,1,"[$10K, $30K)",68
PI,0,"[$10K, $30K)",58
PI,1,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",59
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",69
PI,0,"[$10K, $30K)",58
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",67
PI,0,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",71
PI,0,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",73
PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",70
PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",64
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",73
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",64
PI,0,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",61
No PI,0,"[$10K, $30K)",74
PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",58
PI,1,"[$10K, $30K)",76
No PI,1,"[$10K, $30K)",86
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",68
PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",70
PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",70
PI,1,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",81
PI,0,"[$10K, $30K)",68
PI,0,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",64
PI,1,"[$10K, $30K)",79
PI,0,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",70
PI,0,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",67
PI,0,"[$10K, $30K)",58
PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",59
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",74
No PI,1,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",74
PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",63
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",70
No PI,0,"[$10K, $30K)",62
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",71
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",61
No PI,0,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",73
PI,0,"[$10K, $30K)",61
PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",72
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",79
PI,1,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",75
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",75
PI,0,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",61
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",62
PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",75
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",74
PI,1,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",61
No PI,0,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",63
No PI,0,"[$10K, $30K)",62
PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",70
PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",74
No PI,0,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",60
PI,0,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",67
PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",64
No PI,1,"[$10K, $30K)",64
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",73
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",79
No PI,0,"[$10K, $30K)",67
PI,0,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",67
PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",64
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",77
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",64
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",73
No PI,0,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",71
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",70
PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",68
PI,0,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",60
PI,1,"[$10K, $30K)",71
PI,0,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",60
No PI,1,"[$10K, $30K)",71
No PI,0,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",69
PI,0,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",53
PI,1,"[$10K, $30K)",68
PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",75
PI,1,"[$10K, $30K)",73
PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",74
PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",71
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",59
PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",70
No PI,0,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",70
No PI,0,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",64
PI,1,"[$10K, $30K)",70
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",74
PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",63
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",71
No PI,0,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",72
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",69
PI,0,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",73
PI,1,"[$10K, $30K)",67
PI,0,"[$10K, $30K)",67
PI,0,"[$10K, $30K)",63
PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",75
No PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",67
PI,0,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",69
PI,0,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",59
No PI,0,"[$10K, $30K)",60
No PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",71
PI,0,"[$10K, $30K)",71
No PI,0,"[$10K, $30K)",70
PI,1,"[$10K, $30K)",72
PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",78
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",61
PI,0,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",70
No PI,0,"[$10K, $30K)",69
No PI,0,"[$10K, $30K)",64
PI,0,"[$10K, $30K)",69
PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",72
PI,1,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",69
PI,0,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",67
PI,0,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",76
No PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",68
PI,0,"[$10K, $30K)",62
No PI,0,"[$10K, $30K)",59
No PI,0,"[$10K, $30K)",67
PI,0,"[$10K, $30K)",59
PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",70
PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",74
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",71
No PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",60
No PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",73
PI,1,"[$10K, $30K)",71
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",69
PI,0,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",69
PI,0,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",60
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",71
No PI,1,"[$10K, $30K)",70
PI,1,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",60
PI,0,"[$10K, $30K)",60
No PI,1,"[$10K, $30K)",63
No PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",66
No PI,1,"[$10K, $30K)",74
PI,1,"[$10K, $30K)",67
No PI,0,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",72
No PI,1,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",76
PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",63
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",75
No PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",81
PI,0,"[$10K, $30K)",65
PI,0,"[$10K, $30K)",58
PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",65
No PI,1,"[$10K, $30K)",62
No PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",70
No PI,1,"[$10K, $30K)",65
No PI,0,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",74
PI,0,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",65
PI,1,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",67
No PI,1,"[$10K, $30K)",61
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",70
PI,0,"[$10K, $30K)",68
PI,0,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",68
PI,1,"[$10K, $30K)",66
PI,1,"[$10K, $30K)",68
No PI,0,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",68
No PI,1,"[$10K, $30K)",69
PI,1,"[$10K, $30K)",67
PI,1,"[$10K, $30K)",66
No PI,0,"[$10K, $30K)",63
No PI,1,"[$10K, $30K)",66
PI,0,"[$10K, $30K)",69
No PI,1,"[$10K, $30K)",80
